true,pred,count,share_of_class_errors
Tomato___Bacterial_spot,Tomato___Septoria_leaf_spot,44,0.5
Tomato___Late_blight,Tomato___Leaf_Mold,32,0.3137254901960784
Tomato___Late_blight,Tomato___Bacterial_spot,30,0.29411764705882354
Tomato___Bacterial_spot,Tomato___Leaf_Mold,29,0.32954545454545453
Tomato___Late_blight,Tomato___Septoria_leaf_spot,22,0.21568627450980393
Tomato___Septoria_leaf_spot,Tomato___Bacterial_spot,22,0.2894736842105263
Tomato___Leaf_Mold,Tomato___Bacterial_spot,20,0.3508771929824561
Tomato___Septoria_leaf_spot,Tomato___Late_blight,18,0.23684210526315788
Tomato___Leaf_Mold,Tomato___Late_blight,16,0.2807017543859649
Tomato___Septoria_leaf_spot,Tomato___Leaf_Mold,14,0.18421052631578946
Tomato___Septoria_leaf_spot,Tomato___Early_blight,12,0.15789473684210525
Tomato___Late_blight,Tomato___healthy,11,0.10784313725490197
Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,11,0.19298245614035087
Tomato___Early_blight,Tomato___Septoria_leaf_spot,7,0.4666666666666667
Tomato___Bacterial_spot,Tomato___Late_blight,6,0.06818181818181818
Tomato___Late_blight,Tomato___Early_blight,6,0.058823529411764705
Tomato___Leaf_Mold,Tomato___healthy,6,0.10526315789473684
Tomato___Target_Spot,Tomato___Spider_mites Two-spotted_spider_mite,6,0.75
Tomato___Bacterial_spot,Tomato___Early_blight,4,0.045454545454545456
Tomato___Early_blight,Tomato___Late_blight,4,0.26666666666666666
Tomato___Septoria_leaf_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,4,0.05263157894736842
Tomato___Leaf_Mold,Tomato___Tomato_Yellow_Leaf_Curl_Virus,3,0.05263157894736842
Tomato___Septoria_leaf_spot,Tomato___healthy,3,0.039473684210526314
Tomato___Tomato_mosaic_virus,Tomato___healthy,3,0.3
Tomato___healthy,Tomato___Septoria_leaf_spot,3,0.3
Tomato___healthy,Tomato___Target_Spot,3,0.3
Tomato___Bacterial_spot,Tomato___healthy,2,0.022727272727272728
Tomato___Early_blight,Tomato___Bacterial_spot,2,0.13333333333333333
Tomato___Early_blight,Tomato___Leaf_Mold,2,0.13333333333333333
Tomato___Septoria_leaf_spot,Tomato___Tomato_mosaic_virus,2,0.02631578947368421
Tomato___Tomato_mosaic_virus,Tomato___Septoria_leaf_spot,2,0.2
Tomato___Bacterial_spot,Tomato___Spider_mites Two-spotted_spider_mite,1,0.011363636363636364
Tomato___Bacterial_spot,Tomato___Target_Spot,1,0.011363636363636364
Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1,0.011363636363636364
Tomato___Late_blight,Tomato___Tomato_mosaic_virus,1,0.00980392156862745
Tomato___Leaf_Mold,Tomato___Early_blight,1,0.017543859649122806
Tomato___Septoria_leaf_spot,Tomato___Target_Spot,1,0.013157894736842105
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Leaf_Mold,1,1.0
Tomato___Target_Spot,Tomato___Late_blight,1,0.125
Tomato___Target_Spot,Tomato___Leaf_Mold,1,0.125
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Leaf_Mold,1,1.0
Tomato___Tomato_mosaic_virus,Tomato___Late_blight,1,0.1
Tomato___Tomato_mosaic_virus,Tomato___Leaf_Mold,1,0.1
Tomato___Tomato_mosaic_virus,Tomato___Spider_mites Two-spotted_spider_mite,1,0.1
Tomato___Tomato_mosaic_virus,Tomato___Target_Spot,1,0.1
Tomato___Tomato_mosaic_virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1,0.1
Tomato___healthy,Tomato___Late_blight,1,0.1
Tomato___healthy,Tomato___Leaf_Mold,1,0.1
Tomato___healthy,Tomato___Spider_mites Two-spotted_spider_mite,1,0.1
Tomato___healthy,Tomato___Tomato_mosaic_virus,1,0.1
