name,epochs,imgsz,batch,optimizer,lr0,weight_decay,dropout,freeze,cos_lr,aug_profile,mixup,cutmix,weights,model_size_mb,zenodo_top1,zenodo_total,zenodo_correct,plantdoc_top1,plantdoc_total,plantdoc_correct,umair_top1,umair_total,umair_correct,pareto_training_front
p01_img224_lr5e4_wd5e4_augmed_e25,25,224,64,AdamW,0.0005,0.0005,0.0,0,False,medium,0.0,0.0,F:\TFM experimento\training\runs\classify\runs\pareto\p01_img224_lr5e4_wd5e4_augmed_e25\weights\best.pt,2.846,0.983,1000,983,0.6666666666666666,69,46,0.9735655419063909,6431,6261,yes
p02_img320_lr5e4_wd5e4_augmed_e25,25,320,32,AdamW,0.0005,0.0005,0.0,0,False,medium,0.0,0.0,F:\TFM experimento\training\runs\classify\runs\pareto\p02_img320_lr5e4_wd5e4_augmed_e25\weights\best.pt,2.847,0.992,1000,992,0.7101449275362319,69,49,0.9866272741408801,6431,6345,yes
p03_img416_lr5e4_wd5e4_augmed_e25,25,416,16,AdamW,0.0005,0.0005,0.0,0,False,medium,0.0,0.0,F:\TFM experimento\training\runs\classify\runs\pareto\p03_img416_lr5e4_wd5e4_augmed_e25\weights\best.pt,2.847,0.988,1000,988,0.7391304347826086,69,51,0.9874047582024569,6431,6350,yes
p04_img320_lr1e3_wd5e4_augmed_e25,25,320,32,AdamW,0.001,0.0005,0.0,0,False,medium,0.0,0.0,F:\TFM experimento\training\runs\classify\runs\pareto\p04_img320_lr1e3_wd5e4_augmed_e25\weights\best.pt,2.847,0.992,1000,992,0.6666666666666666,69,46,0.9911366816980252,6431,6374,yes
p05_img320_lr1e4_wd5e4_augmed_cos_e25,25,320,32,AdamW,0.0001,0.0005,0.0,0,True,medium,0.0,0.0,F:\TFM experimento\training\runs\classify\runs\pareto\p05_img320_lr1e4_wd5e4_augmed_cos_e25\weights\best.pt,2.847,0.994,1000,994,0.6521739130434783,69,45,0.9779194526512206,6431,6289,yes
p06_img320_lr5e4_wd1e4_auglow_e25,25,320,32,AdamW,0.0005,0.0001,0.0,0,False,low,0.0,0.0,F:\TFM experimento\training\runs\classify\runs\pareto\p06_img320_lr5e4_wd1e4_auglow_e25\weights\best.pt,2.847,0.985,1000,985,0.7101449275362319,69,49,0.9847613123930959,6431,6333,no
p07_img320_lr5e4_wd1e3_aughigh_e25,25,320,32,AdamW,0.0005,0.001,0.0,0,False,high,0.0,0.0,F:\TFM experimento\training\runs\classify\runs\pareto\p07_img320_lr5e4_wd1e3_aughigh_e25\weights\best.pt,2.847,0.989,1000,989,0.6811594202898551,69,47,0.9917586689472866,6431,6378,yes
p08_img320_lr5e4_wd5e4_dropout01_e25,25,320,32,AdamW,0.0005,0.0005,0.1,0,False,medium,0.0,0.0,F:\TFM experimento\training\runs\classify\runs\pareto\p08_img320_lr5e4_wd5e4_dropout01_e25\weights\best.pt,2.847,0.988,1000,988,0.7101449275362319,69,49,0.9911366816980252,6431,6374,yes
p09_img320_lr5e4_wd5e4_freeze9_e25,25,320,32,AdamW,0.0005,0.0005,0.0,9,False,medium,0.0,0.0,F:\TFM experimento\training\runs\classify\runs\pareto\p09_img320_lr5e4_wd5e4_freeze9_e25\weights\best.pt,2.846,0.993,1000,993,0.6231884057971014,69,43,0.9542839371792878,6431,6137,yes
p10_img320_lr5e4_wd5e4_mixcut_e25,25,320,32,AdamW,0.0005,0.0005,0.0,0,False,medium,0.05,0.2,F:\TFM experimento\training\runs\classify\runs\pareto\p10_img320_lr5e4_wd5e4_mixcut_e25\weights\best.pt,2.847,0.992,1000,992,0.7101449275362319,69,49,0.9866272741408801,6431,6345,yes
p11_img224_lr5e4_wd5e4_aughigh_e10,10,224,64,AdamW,0.0005,0.0005,0.0,0,False,high,0.0,0.0,F:\TFM experimento\training\runs\classify\runs\pareto\p11_img224_lr5e4_wd5e4_aughigh_e10\weights\best.pt,2.846,0.981,1000,981,0.6811594202898551,69,47,0.9760534909034365,6431,6277,yes
p12_img320_sgd_lr1e2_wd5e4_augmed_e25,25,320,32,SGD,0.01,0.0005,0.0,0,False,medium,0.0,0.0,F:\TFM experimento\training\runs\classify\runs\pareto\p12_img320_sgd_lr1e2_wd5e4_augmed_e25\weights\best.pt,2.847,0.987,1000,987,0.6811594202898551,69,47,0.9908256880733946,6431,6372,no
